date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:46:26	10605/10605	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Aug%202018%2003:09:59%20GMT	http://astylers.com/jazy/index.html	C:/My%20Web%20Sites/native/astylers.com/jazy/index.html	(from )
12:46:26	382/382	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Jan%202019%2011:47:41%20GMT	http://astylers.com/robots.txt		(from )
12:46:27	704/704	---M--	200	added ('OK')	image/png	etag:%222c0-5a298c0c-ff56d5039e994c14;;;%22	http://astylers.com/jazy/images/favicon.png	C:/My%20Web%20Sites/native/astylers.com/jazy/images/favicon.png	(from http://astylers.com/jazy/index.html)
12:46:27	139681/139681	---MCZ	200	added ('OK')	text/css	etag:W/%222c8f0-5a07a5a2-803392c2e43f05b6;gz%22	http://astylers.com/jazy/css/materialize.css	C:/My%20Web%20Sites/native/astylers.com/jazy/css/materialize.css	(from http://astylers.com/jazy/index.html)
12:46:28	553/553	---MCZ	200	added ('OK')	text/css	etag:W/%222d5-5b778898-2173e4f50303c0d4;gz%22	http://astylers.com/jazy/css/loaders.css	C:/My%20Web%20Sites/native/astylers.com/jazy/css/loaders.css	(from http://astylers.com/jazy/index.html)
12:46:28	28091/28091	---MCZ	200	added ('OK')	text/css	etag:W/%228127-58893672-2f15f8c2d350ef6e;gz%22	http://astylers.com/jazy/css/line-awesome.css	C:/My%20Web%20Sites/native/astylers.com/jazy/css/line-awesome.css	(from http://astylers.com/jazy/index.html)
12:46:28	28091/28091	---MCZ	200	added ('OK')	text/css	etag:W/%228125-588ad098-f929b70d3a9b4c3b;gz%22	http://astylers.com/jazy/css/line-awesome-font-awesome.css	C:/My%20Web%20Sites/native/astylers.com/jazy/css/line-awesome-font-awesome.css	(from http://astylers.com/jazy/index.html)
12:46:28	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-58b76aa0-fffd00c64ac5d265;gz%22	http://astylers.com/jazy/css/owl.carousel.min.css	C:/My%20Web%20Sites/native/astylers.com/jazy/css/owl.carousel.min.css	(from http://astylers.com/jazy/index.html)
12:46:28	936/936	---M-Z	200	added ('OK')	text/css	etag:%223a8-58b76aa0-1c15f9df8b76e462;gz%22	http://astylers.com/jazy/css/owl.theme.default.min.css	C:/My%20Web%20Sites/native/astylers.com/jazy/css/owl.theme.default.min.css	(from http://astylers.com/jazy/index.html)
12:46:29	20068/20068	---MCZ	200	added ('OK')	text/css	etag:W/%22696d-5b7cd6d7-939a84e875bd25ad;gz%22	http://astylers.com/jazy/css/style.css	C:/My%20Web%20Sites/native/astylers.com/jazy/css/style.css	(from http://astylers.com/jazy/index.html)
12:46:30	7006/7006	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Aug%202018%2002:35:34%20GMT	http://astylers.com/jazy/product.html	C:/My%20Web%20Sites/native/astylers.com/jazy/product.html	(from http://astylers.com/jazy/index.html)
